action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1749289,[],CHEMBL867944,Inhibition of human coronavirus 229E 3CL protease,F,,,BAO_0000192,BAO_0000218,organism-based format,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C,,,CHEMBL1145328,J Med Chem,2006,,CHEMBL20636,,CHEMBL20636,,0,http://www.openphacts.org/units/Nanomolar,531734,>,1,1,>,,Ki,nM,,10000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,Ki,uM,UO_0000065,,10.0
,,1749292,[],CHEMBL867944,Inhibition of human coronavirus 229E 3CL protease,F,,,BAO_0000192,BAO_0000218,organism-based format,CC(OC(C)(C)C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,,,CHEMBL1145328,J Med Chem,2006,,CHEMBL213054,,CHEMBL213054,7.17,0,http://www.openphacts.org/units/Nanomolar,531733,=,1,1,=,,Ki,nM,,68.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,Ki,uM,UO_0000065,,0.068
,,13500391,[],CHEMBL2445767,Antiviral activity against Coronavirus 229E infected in human HG23 cells,F,,,BAO_0000188,BAO_0000218,organism-based format,CC(C)C[C@H](NC(=O)[C@H](Cc1cccc2ccccc12)NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NC(C)C,,,CHEMBL2439984,Bioorg Med Chem Lett,2013,,CHEMBL2441745,,CHEMBL2441745,6.30,0,http://www.openphacts.org/units/Nanomolar,1928081,=,1,1,=,,EC50,nM,,500.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,0.5
,,13500392,[],CHEMBL2445767,Antiviral activity against Coronavirus 229E infected in human HG23 cells,F,,,BAO_0000188,BAO_0000218,organism-based format,CC(C)C[C@H](NC(=O)[C@H](Cc1cccc2ccccc12)NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,,,CHEMBL2439984,Bioorg Med Chem Lett,2013,,CHEMBL2441741,,CHEMBL2441741,6.70,0,http://www.openphacts.org/units/Nanomolar,1928077,=,1,1,=,,EC50,nM,,200.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,0.2
,,17963318,[],CHEMBL3994808,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in virus-induced cytopathogenicity,F,,,BAO_0000188,BAO_0000219,cell-based format,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL3994569,Eur J Med Chem,2017,,CHEMBL1643,RIBAVIRIN,CHEMBL1643,,0,http://www.openphacts.org/units/Nanomolar,2976484,=,1,1,=,,EC50,nM,,112000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,112.0
,,17963459,[],CHEMBL3994808,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in virus-induced cytopathogenicity,F,,,BAO_0000188,BAO_0000219,cell-based format,CCOP(=O)(OCC)[C@@H]1C[C@@H](Cn2c(=O)n(C(=O)c3ccc(F)cc3)c(=O)c3ccccc32)ON1C,,,CHEMBL3994569,Eur J Med Chem,2017,,CHEMBL4070109,,CHEMBL4070109,4.40,0,http://www.openphacts.org/units/Nanomolar,2976469,=,1,1,=,,EC50,nM,,39500.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,39.5
,,18301124,[],CHEMBL4124853,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as inhibition of virus-induced cytopathicity,F,,,BAO_0000188,BAO_0000218,organism-based format,C/C(=C\CP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc1cccc2ccccc12)Cn1cc(C)c(=O)[nH]c1=O,,,CHEMBL4118253,Bioorg Med Chem,2018,,CHEMBL4127582,,CHEMBL4127582,,0,http://www.openphacts.org/units/Nanomolar,3038142,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18301125,[],CHEMBL4124853,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as inhibition of virus-induced cytopathicity,F,,,BAO_0000188,BAO_0000218,organism-based format,C/C(=C\CP(=O)(N[C@@H](C)C(=O)OCc1ccccc1)Oc1cccc2ccccc12)Cn1cc(C)c(=O)[nH]c1=O,,,CHEMBL4118253,Bioorg Med Chem,2018,,CHEMBL4126212,,CHEMBL4126212,,0,http://www.openphacts.org/units/Nanomolar,3038143,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18301126,[],CHEMBL4124853,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as inhibition of virus-induced cytopathicity,F,,,BAO_0000188,BAO_0000218,organism-based format,C/C(=C\CP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc1ccccc1)Cn1cc(C)c(=O)[nH]c1=O,,,CHEMBL4118253,Bioorg Med Chem,2018,,CHEMBL4128569,,CHEMBL4128569,,0,http://www.openphacts.org/units/Nanomolar,3038144,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18301127,[],CHEMBL4124853,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as inhibition of virus-induced cytopathicity,F,,,BAO_0000188,BAO_0000218,organism-based format,C/C(=C\CP(=O)(N[C@@H](C)C(=O)OCc1ccccc1)Oc1ccccc1)Cn1cc(C)c(=O)[nH]c1=O,,,CHEMBL4118253,Bioorg Med Chem,2018,,CHEMBL4127182,,CHEMBL4127182,,0,http://www.openphacts.org/units/Nanomolar,3038145,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18301128,[],CHEMBL4124853,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as inhibition of virus-induced cytopathicity,F,,,BAO_0000188,BAO_0000218,organism-based format,C/C(=C\CP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc1cccc2c1CCCC2)Cn1cc(C)c(=O)[nH]c1=O,,,CHEMBL4118253,Bioorg Med Chem,2018,,CHEMBL4129784,,CHEMBL4129784,,0,http://www.openphacts.org/units/Nanomolar,3038146,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18301129,[],CHEMBL4124853,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as inhibition of virus-induced cytopathicity,F,,,BAO_0000188,BAO_0000218,organism-based format,C/C(=C\CP(=O)(N[C@@H](C)C(=O)OCc1ccccc1)Oc1cccc2c1CCCC2)Cn1cc(C)c(=O)[nH]c1=O,,,CHEMBL4118253,Bioorg Med Chem,2018,,CHEMBL4128419,,CHEMBL4128419,,0,http://www.openphacts.org/units/Nanomolar,3038147,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18301130,[],CHEMBL4124853,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as inhibition of virus-induced cytopathicity,F,,,BAO_0000188,BAO_0000218,organism-based format,C/C(=C\CP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc1cccc2ccccc12)Cn1ccc(=O)[nH]c1=O,,,CHEMBL4118253,Bioorg Med Chem,2018,,CHEMBL4126084,,CHEMBL4126084,,0,http://www.openphacts.org/units/Nanomolar,3038148,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18301131,[],CHEMBL4124853,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as inhibition of virus-induced cytopathicity,F,,,BAO_0000188,BAO_0000218,organism-based format,C/C(=C\CP(=O)(N[C@@H](C)C(=O)OCc1ccccc1)Oc1cccc2ccccc12)Cn1ccc(=O)[nH]c1=O,,,CHEMBL4118253,Bioorg Med Chem,2018,,CHEMBL4129391,,CHEMBL4129391,,0,http://www.openphacts.org/units/Nanomolar,3038149,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18301132,[],CHEMBL4124853,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as inhibition of virus-induced cytopathicity,F,,,BAO_0000188,BAO_0000218,organism-based format,C/C(=C\CP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc1ccccc1)Cn1ccc(=O)[nH]c1=O,,,CHEMBL4118253,Bioorg Med Chem,2018,,CHEMBL4128997,,CHEMBL4128997,,0,http://www.openphacts.org/units/Nanomolar,3038150,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18301133,[],CHEMBL4124853,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as inhibition of virus-induced cytopathicity,F,,,BAO_0000188,BAO_0000218,organism-based format,C/C(=C\CP(=O)(N[C@@H](C)C(=O)OCc1ccccc1)Oc1ccccc1)Cn1ccc(=O)[nH]c1=O,,,CHEMBL4118253,Bioorg Med Chem,2018,,CHEMBL4125717,,CHEMBL4125717,,0,http://www.openphacts.org/units/Nanomolar,3038151,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18301134,[],CHEMBL4124853,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as inhibition of virus-induced cytopathicity,F,,,BAO_0000188,BAO_0000218,organism-based format,C/C(=C\CP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc1cccc2c1CCCC2)Cn1ccc(=O)[nH]c1=O,,,CHEMBL4118253,Bioorg Med Chem,2018,,CHEMBL4127759,,CHEMBL4127759,,0,http://www.openphacts.org/units/Nanomolar,3038152,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18301135,[],CHEMBL4124853,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as inhibition of virus-induced cytopathicity,F,,,BAO_0000188,BAO_0000218,organism-based format,C/C(=C\CP(=O)(N[C@@H](C)C(=O)OCc1ccccc1)Oc1cccc2c1CCCC2)Cn1ccc(=O)[nH]c1=O,,,CHEMBL4118253,Bioorg Med Chem,2018,,CHEMBL4129158,,CHEMBL4129158,,0,http://www.openphacts.org/units/Nanomolar,3038153,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18301136,[],CHEMBL4124853,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as inhibition of virus-induced cytopathicity,F,,,BAO_0000188,BAO_0000218,organism-based format,C/C(=C/CP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc1cccc2ccccc12)Cn1cc(C)c(=O)[nH]c1=O,,,CHEMBL4118253,Bioorg Med Chem,2018,,CHEMBL4126524,,CHEMBL4126524,,0,http://www.openphacts.org/units/Nanomolar,3038154,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18301137,[],CHEMBL4124853,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as inhibition of virus-induced cytopathicity,F,,,BAO_0000188,BAO_0000218,organism-based format,C/C(=C/CP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc1cccc2c1CCCC2)Cn1cc(C)c(=O)[nH]c1=O,,,CHEMBL4118253,Bioorg Med Chem,2018,,CHEMBL4127918,,CHEMBL4127918,,0,http://www.openphacts.org/units/Nanomolar,3038155,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18301138,[],CHEMBL4124853,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as inhibition of virus-induced cytopathicity,F,,,BAO_0000188,BAO_0000218,organism-based format,C/C(=C/CP(=O)(N[C@@H](C)C(=O)OCc1ccccc1)Oc1cccc2c1CCCC2)Cn1cc(C)c(=O)[nH]c1=O,,,CHEMBL4118253,Bioorg Med Chem,2018,,CHEMBL4129955,,CHEMBL4129955,,0,http://www.openphacts.org/units/Nanomolar,3038156,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18301139,[],CHEMBL4124853,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as inhibition of virus-induced cytopathicity,F,,,BAO_0000188,BAO_0000218,organism-based format,C/C(=C/CP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc1cccc2c1CCCC2)Cn1ccc(=O)[nH]c1=O,,,CHEMBL4118253,Bioorg Med Chem,2018,,CHEMBL4126683,,CHEMBL4126683,,0,http://www.openphacts.org/units/Nanomolar,3038157,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18301140,[],CHEMBL4124853,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as inhibition of virus-induced cytopathicity,F,,,BAO_0000188,BAO_0000218,organism-based format,CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1OC(C)(OP(=O)(O)O)C(=O)O,,,CHEMBL4118253,Bioorg Med Chem,2018,,CHEMBL4129135,,CHEMBL4129135,5.75,0,http://www.openphacts.org/units/Nanomolar,3038166,=,1,1,=,,EC50,nM,,1800.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,1.8
,,18537985,[],CHEMBL4196865,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in viral cytopathic effect,F,,,BAO_0000188,BAO_0000218,organism-based format,Cc1cn(C/C=C/C[P@](=O)(N[C@@H](C)C(=O)OCc2ccccc2)Oc2ccccc2)c(=O)[nH]c1=O,,,CHEMBL4196014,Eur J Med Chem,2018,,CHEMBL4212548,,CHEMBL4212548,4.61,0,http://www.openphacts.org/units/Nanomolar,3077778,=,1,1,=,,EC50,nM,,24600.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,24.6
,,18537986,[],CHEMBL4196865,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in viral cytopathic effect,F,,,BAO_0000188,BAO_0000218,organism-based format,Cc1cn(C/C=C/C[P@@](=O)(N[C@@H](C)C(=O)OCc2ccccc2)Oc2ccccc2)c(=O)[nH]c1=O,,,CHEMBL4196014,Eur J Med Chem,2018,,CHEMBL4217504,,CHEMBL4217504,4.22,0,http://www.openphacts.org/units/Nanomolar,3077777,=,1,1,=,,EC50,nM,,60000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,60.0
,,18537987,[],CHEMBL4196865,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in viral cytopathic effect,F,,,BAO_0000188,BAO_0000218,organism-based format,COC(=O)[C@H](C)NP(=O)(C/C=C/Cn1cc(C)c(=O)[nH]c1=O)Oc1ccccc1,,,CHEMBL4196014,Eur J Med Chem,2018,,CHEMBL4212625,,CHEMBL4212625,,0,http://www.openphacts.org/units/Nanomolar,3077779,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18537988,[],CHEMBL4196865,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in viral cytopathic effect,F,,,BAO_0000188,BAO_0000218,organism-based format,Cc1cn(C/C=C/CP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc2ccccc2)c(=O)[nH]c1=O,,,CHEMBL4196014,Eur J Med Chem,2018,,CHEMBL4210248,,CHEMBL4210248,,0,http://www.openphacts.org/units/Nanomolar,3077780,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18537989,[],CHEMBL4196865,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in viral cytopathic effect,F,,,BAO_0000188,BAO_0000218,organism-based format,C[C@H](NP(=O)(C/C=C/Cn1cc(F)c(=O)[nH]c1=O)Oc1ccccc1)C(=O)OCc1ccccc1,,,CHEMBL4196014,Eur J Med Chem,2018,,CHEMBL4205766,,CHEMBL4205766,4.35,0,http://www.openphacts.org/units/Nanomolar,3077781,=,1,1,=,,EC50,nM,,45000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,45.0
,,18537990,[],CHEMBL4196865,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in viral cytopathic effect,F,,,BAO_0000188,BAO_0000218,organism-based format,C[C@H](NP(=O)(C/C=C/Cn1cc(Cl)c(=O)[nH]c1=O)Oc1ccccc1)C(=O)OCc1ccccc1,,,CHEMBL4196014,Eur J Med Chem,2018,,CHEMBL4214640,,CHEMBL4214640,5.05,0,http://www.openphacts.org/units/Nanomolar,3077782,=,1,1,=,,EC50,nM,,8900.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,8.9
,,18775811,[],CHEMBL4269058,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in virus-induced pathogenicity after 3 days by microscopic method,F,,,BAO_0000188,BAO_0000218,organism-based format,c1ccc(N2CCc3c(nnn3CC3CC3)C2)cc1,,,CHEMBL4265975,Bioorg Med Chem Lett,2018,,CHEMBL4293372,,CHEMBL4293372,,0,http://www.openphacts.org/units/Nanomolar,3119731,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18775812,[],CHEMBL4269058,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in virus-induced pathogenicity after 3 days by microscopic method,F,,,BAO_0000188,BAO_0000218,organism-based format,COc1ccccc1CCn1nnc2c1CCN(c1ccccc1)C2,,,CHEMBL4265975,Bioorg Med Chem Lett,2018,,CHEMBL4285539,,CHEMBL4285539,,0,http://www.openphacts.org/units/Nanomolar,3119730,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18775813,[],CHEMBL4269058,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in virus-induced pathogenicity after 3 days by microscopic method,F,,,BAO_0000188,BAO_0000218,organism-based format,COc1ccc(CCn2nnc3c2CCN(c2ccccc2)C3)cc1,,,CHEMBL4265975,Bioorg Med Chem Lett,2018,,CHEMBL4289994,,CHEMBL4289994,,0,http://www.openphacts.org/units/Nanomolar,3119729,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18775814,[],CHEMBL4269058,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in virus-induced pathogenicity after 3 days by microscopic method,F,,,BAO_0000188,BAO_0000218,organism-based format,CCOC(=O)C1(Cc2ccc(F)cc2)CN(c2ccccc2)Cc2nnn(Cc3cccc(F)c3)c21,,,CHEMBL4265975,Bioorg Med Chem Lett,2018,,CHEMBL4282116,,CHEMBL4282116,,0,http://www.openphacts.org/units/Nanomolar,3119728,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18775815,[],CHEMBL4269058,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in virus-induced pathogenicity after 3 days by microscopic method,F,,,BAO_0000188,BAO_0000218,organism-based format,CCOC(=O)C1(Cc2ccc(F)cc2)CN(c2ccccc2)Cc2nnn(Cc3ccc(Cl)c(Cl)c3)c21,,,CHEMBL4265975,Bioorg Med Chem Lett,2018,,CHEMBL4282311,,CHEMBL4282311,5.03,0,http://www.openphacts.org/units/Nanomolar,3119727,=,1,1,=,,EC50,nM,,9450.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,9.45
,,18775816,[],CHEMBL4269058,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in virus-induced pathogenicity after 3 days by microscopic method,F,,,BAO_0000188,BAO_0000218,organism-based format,CCCCCCCCn1nnc2c1C(Cc1ccccc1)(C(=O)OCC)CN(c1ccccc1)C2,,,CHEMBL4265975,Bioorg Med Chem Lett,2018,,CHEMBL4290180,,CHEMBL4290180,,0,http://www.openphacts.org/units/Nanomolar,3119726,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18775817,[],CHEMBL4269058,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in virus-induced pathogenicity after 3 days by microscopic method,F,,,BAO_0000188,BAO_0000218,organism-based format,CCOC(=O)C1(Cc2ccccc2)CN(c2ccccc2)Cc2nnn(CCCCCO)c21,,,CHEMBL4265975,Bioorg Med Chem Lett,2018,,CHEMBL4280784,,CHEMBL4280784,,0,http://www.openphacts.org/units/Nanomolar,3119725,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18775818,[],CHEMBL4269058,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in virus-induced pathogenicity after 3 days by microscopic method,F,,,BAO_0000188,BAO_0000218,organism-based format,CCOC(=O)C1(Cc2ccccc2)CN(c2ccccc2)Cc2nnn(CCc3cc4ccccc4[nH]3)c21,,,CHEMBL4265975,Bioorg Med Chem Lett,2018,,CHEMBL4288674,,CHEMBL4288674,5.03,0,http://www.openphacts.org/units/Nanomolar,3119724,=,1,1,=,,EC50,nM,,9450.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,9.45
,,18775819,[],CHEMBL4269058,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in virus-induced pathogenicity after 3 days by microscopic method,F,,,BAO_0000188,BAO_0000218,organism-based format,CCOC(=O)C1(Cc2ccccc2)CN(c2ccccc2)Cc2nnn(CCc3ccc(OC)cc3)c21,,,CHEMBL4265975,Bioorg Med Chem Lett,2018,,CHEMBL4284215,,CHEMBL4284215,,0,http://www.openphacts.org/units/Nanomolar,3119723,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18775820,[],CHEMBL4269058,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in virus-induced pathogenicity after 3 days by microscopic method,F,,,BAO_0000188,BAO_0000218,organism-based format,CCOC(=O)C1(Cc2ccccc2)CN(c2ccccc2)Cc2nnn(CCc3ccccc3OC)c21,,,CHEMBL4265975,Bioorg Med Chem Lett,2018,,CHEMBL4292092,,CHEMBL4292092,,0,http://www.openphacts.org/units/Nanomolar,3119722,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18775821,[],CHEMBL4269058,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in virus-induced pathogenicity after 3 days by microscopic method,F,,,BAO_0000188,BAO_0000218,organism-based format,CCOC(=O)C1(Cc2ccccc2)CN(c2ccccc2)Cc2nnn(Cc3ccco3)c21,,,CHEMBL4265975,Bioorg Med Chem Lett,2018,,CHEMBL4292518,,CHEMBL4292518,,0,http://www.openphacts.org/units/Nanomolar,3119721,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18775822,[],CHEMBL4269058,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in virus-induced pathogenicity after 3 days by microscopic method,F,,,BAO_0000188,BAO_0000218,organism-based format,CCOC(=O)C1(Cc2ccccc2)CN(c2ccccc2)Cc2nnn(Cc3c(F)cccc3Cl)c21,,,CHEMBL4265975,Bioorg Med Chem Lett,2018,,CHEMBL4281902,,CHEMBL4281902,,0,http://www.openphacts.org/units/Nanomolar,3119720,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18775823,[],CHEMBL4269058,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in virus-induced pathogenicity after 3 days by microscopic method,F,,,BAO_0000188,BAO_0000218,organism-based format,CCOC(=O)C1(Cc2ccccc2)CN(c2ccccc2)Cc2nnn(Cc3ccc(Cl)c(Cl)c3)c21,,,CHEMBL4265975,Bioorg Med Chem Lett,2018,,CHEMBL4277380,,CHEMBL4277380,,0,http://www.openphacts.org/units/Nanomolar,3119719,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
,,18775824,[],CHEMBL4269058,Antiviral activity against Human coronavirus 229E infected in HEL cells assessed as reduction in virus-induced pathogenicity after 3 days by microscopic method,F,,,BAO_0000188,BAO_0000218,organism-based format,CCOC(=O)C1(Cc2ccccc2)CN(c2ccccc2)Cc2nnn(Cc3ccccc3Cl)c21,,,CHEMBL4265975,Bioorg Med Chem Lett,2018,,CHEMBL4285333,,CHEMBL4285333,,0,http://www.openphacts.org/units/Nanomolar,3119718,>,1,1,>,,EC50,nM,,100000.0,CHEMBL613837,Human coronavirus 229E,Human coronavirus 229E,11137,,,EC50,uM,UO_0000065,,100.0
